year,quarter,quarter_no,N,income_mean,income_median,income_gini,wealth_mean,wealth_median,wealth_gini
2015,Bachletten,8,8112,77778,57698,0.486,413563,35928,0.857
2015,Gotthelf,9,4191,63532,50790,0.441,229963,29072,0.821
2015,Iselin,10,9739,51788,44777,0.428,130113,8713,0.858
2015,St. Johann,11,10894,52273,41997,0.479,131943,7124,0.868
2015,Altstadt Kleinbasel,12,1588,61193,42122,0.537,249077,8871,0.906
2015,Clara,13,2438,49702,40433,0.458,130164,8303,0.865
2015,Wettstein,14,3455,73498,54256,0.487,296022,28136,0.855
2015,Hirzbrunnen,15,5289,59376,51368,0.41,186072,16113,0.849
2015,Rosental,16,3158,51788,42854,0.466,76964,3000,0.88
2015,Matthäus,17,9052,50044,38545,0.503,128623,4561,0.888
2015,Klybeck,18,4093,42281,37400,0.435,59248,1500,0.882
2015,Kleinhüningen,19,1609,45955,41403,0.418,68636,2678,0.864
2015,Riehen,20,11758,90865,63689,0.52,642705,46952,0.875
2015,Bettingen,30,628,122319,68594,0.62,2359934,78649,0.948
2016,Altstadt Grossbasel,1,1676,99020,51264,0.643,1042452,31236,0.928
2016,Vorstädte,2,3024,103696,58786,0.588,1434679,48881,0.94
2016,Am Ring,3,6178,77051,54114,0.519,448259,38772,0.859
2016,Breite,4,5619,56742,47243,0.426,149641,14148,0.843
2016,St. Alban,5,6403,103531,61595,0.568,1018634,59000,0.904
2016,Gundeldingen,6,11572,56107,47690,0.436,147613,12709,0.852
2016,Bruderholz,7,5122,125412,65674,0.635,2549938,74863,0.953
2016,Bachletten,8,8075,79537,58412,0.493,464497,45676,0.85
2016,Gotthelf,9,4217,63460,50693,0.445,704932,27817,0.941
2016,Iselin,10,9709,51446,44369,0.434,127693,9631,0.849
2016,St. Johann,11,10868,52412,41580,0.486,146195,8176,0.869
2016,Altstadt Kleinbasel,12,1614,61429,42007,0.533,282293,10020,0.904
2016,Clara,13,2415,50801,40142,0.474,135518,8111,0.867
2016,Wettstein,14,3421,76177,55101,0.496,350734,31499,0.86
2016,Hirzbrunnen,15,5378,60768,52620,0.412,195472,18501,0.839
2016,Rosental,16,3363,54494,44851,0.466,92875,3833,0.884
2016,Matthäus,17,9009,51111,38102,0.511,143892,5302,0.887
2016,Klybeck,18,3982,41703,36803,0.437,60372,1965,0.879
2016,Kleinhüningen,19,1577,46046,41368,0.414,71011,3763,0.857
2016,Riehen,20,11891,92220,63592,0.526,810996,60135,0.883
2016,Bettingen,30,629,135547,67711,0.661,2216243,99999,0.934
2017,Altstadt Grossbasel,1,1694,97111,53596,0.631,1060205,31391,0.928
2017,Vorstädte,2,3005,103714,59216,0.589,1523290,48690,0.941
2017,Am Ring,3,6177,78761,54487,0.525,476747,41941,0.861
2017,Breite,4,5605,56888,47393,0.431,153404,14799,0.843
2017,St. Alban,5,6437,102457,62163,0.56,1056515,65590,0.902
2017,Gundeldingen,6,11457,56544,47463,0.441,161585,13491,0.855
2017,Bruderholz,7,5126,105973,65812,0.561,1273808,78357,0.9
2017,Bachletten,8,8068,81580,59358,0.497,491478,50438,0.848
